module style:381; drdy:True;   burst read:False; single read:True 
time:0.256357 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.257844 DATA_READY______________________________0x35    read value: 0x4         
time:0.267806 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.277484 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.287412 STATUS__________________________________0x3C    read value: 0x0         
time:0.297305 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.307484 DATA_READY______________________________0x35    read value: 0x4         
time:0.317489 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.327119 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.337078 STATUS__________________________________0x3C    read value: 0x0         
time:0.346947 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.356717 DATA_READY______________________________0x35    read value: 0x4         
time:0.366651 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.37662 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.386536 STATUS__________________________________0x3C    read value: 0x0         
time:0.396368 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.406316 DATA_READY______________________________0x35    read value: 0x4         
time:0.416457 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.426336 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.43617 STATUS__________________________________0x3C    read value: 0x0         
time:0.445893 write success! 0x35:0x4

time:0.45599 SELF_TEST_______________________________0x34    read value: 0x4         
time:0.465964 DATA_READY______________________________0x35    read value: 0x4         
time:0.475846 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.485826 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.495762 STATUS__________________________________0x3C    read value: 0x0         
time:0.50563 SELF_TEST_______________________________0x34    read value: 0x4         
time:0.515567 DATA_READY______________________________0x35    read value: 0x4         
time:0.525522 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.535396 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.545327 STATUS__________________________________0x3C    read value: 0x0  
       
time:0.555209 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.565172 DATA_READY______________________________0x35    read value: 0x4         
time:0.575143 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.585034 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.594994 STATUS__________________________________0x3C    read value: 0x0         
time:0.60497 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.614955 DATA_READY______________________________0x35    read value: 0x4         
time:0.624831 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.634705 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.644671 STATUS__________________________________0x3C    read value: 0x0         
time:0.654525 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.664463 DATA_READY______________________________0x35    read value: 0x4         
time:0.674423 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.684281 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.694259 STATUS__________________________________0x3C    read value: 0x0         
time:0.704258 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.714245 DATA_READY______________________________0x35    read value: 0x4         
time:0.724158 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.734004 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.743873 STATUS__________________________________0x3C    read value: 0x0         
time:0.753707 SELF_TEST_______________________________0x34    read value: 0x0         
time:0.763665 DATA_READY______________________________0x35    read value: 0x4         
time:0.773615 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:0.78357 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:0.793422 STATUS__________________________________0x3C    read value: 0x0         
